,Unnamed: 0,ticker,fiscalDateEnding,reportedCurrency_x,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,shortTermInvestments,otherCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency_y,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,ebit,ebitda,netIncome,Unnamed: 0_was_missing,totalAssets_was_missing,totalCurrentAssets_was_missing,cashAndCashEquivalentsAtCarryingValue_was_missing,cashAndShortTermInvestments_was_missing,inventory_was_missing,currentNetReceivables_was_missing,totalNonCurrentAssets_was_missing,propertyPlantEquipment_was_missing,intangibleAssets_was_missing,intangibleAssetsExcludingGoodwill_was_missing,goodwill_was_missing,shortTermInvestments_was_missing,otherCurrentAssets_was_missing,totalLiabilities_was_missing,totalCurrentLiabilities_was_missing,currentAccountsPayable_was_missing,shortTermDebt_was_missing,totalNonCurrentLiabilities_was_missing,capitalLeaseObligations_was_missing,longTermDebt_was_missing,shortLongTermDebtTotal_was_missing,otherCurrentLiabilities_was_missing,otherNonCurrentLiabilities_was_missing,totalShareholderEquity_was_missing,retainedEarnings_was_missing,commonStock_was_missing,commonStockSharesOutstanding_was_missing,grossProfit_was_missing,totalRevenue_was_missing,costOfRevenue_was_missing,costofGoodsAndServicesSold_was_missing,operatingIncome_was_missing,sellingGeneralAndAdministrative_was_missing,researchAndDevelopment_was_missing,operatingExpenses_was_missing,netInterestIncome_was_missing,interestIncome_was_missing,interestExpense_was_missing,depreciationAndAmortization_was_missing,incomeBeforeTax_was_missing,incomeTaxExpense_was_missing,netIncomeFromContinuingOperations_was_missing,ebit_was_missing,ebitda_was_missing,netIncome_was_missing,close_price,price_date,future_return_1y
1311,1311,BIDU,2020-03-31,CNY,299017000000.0,165285000000,21761000000.0,21761000000.0,1009000000.0,9688000000.0,133732000000,24633000000.0,7164000000.0,7164000000.0,18250000000.0,123916000000.0,8911000000.0,128204000000,56015000000.0,31040000000.0,11042000000.0,72189000000.0,6879000000.0,59278000000.0,74783000000.0,2584000000.0,482000000.0,163046000000,124714000000.0,8000000.0,347625000,CNY,7858000000,22545000000,14687000000.0,14687000000.0,-437000000,3852000000.0,4443000000.0,8295000000,690000000.0,1441000000.0,751000000.0,1799000000.0,-1480000000,198000000.0,-1678000000.0,-729000000.0,1070000000,41000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.79000091552734,2020-03-31,1.1584482694279137
1335,1335,BIIB,2020-03-31,USD,26119200000.0,8007200000,2591300000.0,2591300000.0,858800000.0,2604200000.0,18112000000,3281600000.0,3446900000.0,3446900000.0,5752000000.0,1269100000.0,683800000.0,13582300000,4638600000.0,389000000.0,1501800000.0,8943700000.0,403700000.0,4459900000.0,6365400000.0,2437800000.0,1761000000.0,12546900000,15673100000.0,100000.0,173100000,USD,3080000000,3534300000,454300000.0,454300000.0,1819900000,570100000.0,622800000.0,1260100000,-19900000.0,24400000.0,44300000.0,119900000.0,1684600000,292000000.0,1407400000.0,1890300000.0,2010200000,1399100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.3800048828125,2020-03-31,-0.115778507862342
734,734,CDNS,2020-03-31,USD,3767973000.0,1399507000,946285000.0,946285000.0,60575000.0,300078000.0,2368466000,281207000.0,258617000.0,258617000.0,778992000.0,0.0,92569000.0,1609979000,1012429000.0,233334000.0,350000000.0,597550000.0,0.0,346205000.0,696205000.0,236813000.0,155842000.0,2157994000,1883677000.0,2099425000.0,279265000,USD,543494000,617957000,74463000.0,74463000.0,138284000,33592000.0,241668000.0,405210000,-4637000.0,0.0,4637000.0,34027000.0,130180000,6192000.0,123988000.0,134111000.0,168138000,123988000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66.04000091552734,2020-03-31,1.0743489338891714
1359,1359,CHTR,2020-03-31,USD,146552000000.0,5759000000,2908000000.0,2908000000.0,1478040500.0,2091000000.0,140793000000,34096000000.0,74709000000.0,74709000000.0,29554000000.0,0.0,760000000.0,109830000000,13215000000.0,733000000.0,5123000000.0,96615000000.0,218000000.0,74787000000.0,79910000000.0,6371000000.0,4163000000.0,29628000000,436000000.0,8000000.0,212810613,USD,3950000000,11738000000,7788000000.0,7788000000.0,1809000000,856000000.0,0.0,2141000000,-980000000.0,1298000000.0,980000000.0,2497000000.0,496000000,29000000.0,467000000.0,1476000000.0,3973000000,396000000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,436.30999755859375,2020-03-31,0.4141780453893633
1119,1119,DDOG,2020-03-31,USD,1066656000.0,933065000,194350000.0,194350000.0,1478040500.0,108437000.0,133591000,85370000.0,1176000.0,1176000.0,8891000.0,600384000.0,29894000.0,263761000,210638000.0,14205000.0,13436000.0,53123000.0,59478000.0,0.0,59478000.0,41755000.0,3141000.0,802895000,-117137000.0,3000.0,327801000,USD,104769000,131248000,26479000.0,26479000.0,3778000,14952000.0,40824000.0,100991000,0.0,0.0,707000.0,3688000.0,6674000,195000.0,6479000.0,6674000.0,10362000,6479000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,35.97999954223633,2020-03-31,1.3162867537021277
262,262,FISV,2020-03-31,USD,72598000000.0,12933000000,896000000.0,896000000.0,78088000.0,2582000000.0,59665000000,2047000000.0,17004000000.0,17004000000.0,35695000000.0,0.0,9376912000.0,39052000000,12119000000.0,370000000.0,338000000.0,26933000000.0,0.0,0.0,21968000000.0,10126000000.0,0.0,31843000000,12875000000.0,8000000.0,691200000,USD,1602000000,3769000000,2167000000.0,2167000000.0,629000000,368000000.0,0.0,973000000,0.0,0.0,189000000.0,832000000.0,456000000,79000000.0,471000000.0,651000000.0,1483000000,392000000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,94.98999786376952,2020-03-31,0.2531845835626745
828,828,FTNT,2020-03-31,USD,3206200000.0,2035300000,626100000.0,626100000.0,105000000.0,474700000.0,1170900000,374200000.0,27100000.0,27100000.0,67200000.0,775200000.0,54300000.0,2669900000,1543000000.0,87800000.0,0.0,1126900000.0,0.0,0.0,28300000.0,143700000.0,1126900000.0,536300000,-589200000.0,200000.0,871000000,USD,449000000,577700000,128700000.0,128700000.0,116700000,28800000.0,80300000.0,332300000,9200000.0,9200000.0,9200000.0,17600000.0,117900000,13300000.0,104000000.0,116700000.0,134300000,104600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.233999252319336,2020-03-31,0.8228724045555036
286,286,GILD,2020-03-31,USD,59741000000.0,26950000000,10051000000.0,10051000000.0,986000000.0,3907000000.0,32791000000,4564000000.0,13502000000.0,13502000000.0,4117000000.0,10734000000.0,1272000000.0,37562000000,8879000000.0,590000000.0,1999000000.0,28683000000.0,0.0,22098000000.0,24097000000.0,5645000000.0,6585000000.0,22067000000,18709000000.0,1000000.0,1270000000,USD,4579000000,5548000000,969000000.0,969000000.0,2402000000,1076000000.0,1004000000.0,2177000000,-241000000.0,500000000.0,241000000.0,349000000.0,2003000000,465000000.0,1538000000.0,2244000000.0,2593000000,1551000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.84553527832031,2020-03-31,-0.09854649509935764
95,95,GOOGL,2020-03-31,USD,273403000000.0,147018000000,19644000000.0,19644000000.0,889000000.0,23735000000.0,126385000000,87966000000.0,1840000000.0,1840000000.0,20734000000.0,97585000000.0,5165000000.0,69744000000,40189000000.0,4099000000.0,1312000000.0,29555000000.0,12844000000.0,3960000000.0,16804000000.0,31927000000.0,22460000000.0,203659000000,151068000000.0,53688000000.0,13845334461,USD,22177000000,41159000000,18982000000.0,18982000000.0,7977000000,2880000000.0,6820000000.0,14200000000,565000000.0,586000000.0,21000000.0,3108000000.0,7757000000,921000000.0,6836000000.0,7778000000.0,10886000000,6836000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.66182327270508,2020-03-31,0.775050459121942
852,852,IDXX,2020-03-31,USD,1886245000.0,721351000,81395000.0,81395000.0,211644000.0,333803000.0,1164894000,546158000.0,57948000.0,57948000.0,233211000.0,0.0,94509000.0,1778190000,846241000.0,74210000.0,502317000.0,931949000.0,80836000.0,697363000.0,1265023000.0,198335000.0,195678000.0,107674000,1705646000.0,10591000.0,86705000,USD,359590000,626336000,266746000.0,266746000.0,144325000,65812000.0,33310000.0,215265000,-7552000.0,140000.0,7692000.0,23204000.0,136773000,24917000.0,111856000.0,145165000.0,168369000,111827000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.2400054931641,2020-03-31,1.0199388476830342
